filename, language, Go, JavaScript, JavaScript React, Markdown, Nunjucks, JSON, XML, CSV, Log, comment, blank, total
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/parser/parserProps.go, Go, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/parser/readme.md, Markdown, 0, 0, 0, 946, 0, 0, 0, 0, 0, 0, 227, 1173
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/parser/tableProps.go, Go, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 285
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/parser/textProps.go, Go, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 383
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/parser/utils.go, Go, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/server.go, Go, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/templateService.go, Go, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/templategen/main.go, Go, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/00-main.tmpl, Nunjucks, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/01-Document.tmpl, Nunjucks, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 41
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/02-Introduction.tmpl, Nunjucks, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 58
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/03-AboutUs.tmpl, Nunjucks, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/04-EBCSolution.tmpl, Nunjucks, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 1, 92
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/05-ProjectMileStone.tmpl, Nunjucks, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/06-EffortEstimate.tmpl, Nunjucks, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/07-Assumptions.tmpl, Nunjucks, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/08-Privacy.tmpl, Nunjucks, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
/Users/devarsh/go/src/github.com/devarsh/miniApps/wordTemplate/tmpl/09-Validity.tmpl, Nunjucks, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
